"psych" "income" "city" "age"
521 8.26 "Haifa" 26
568 18.12 "Haifa" 35
672 17.78 "Haifa" 30
587 13.03 "Haifa" 25
408 4.96 "Haifa" 27
505 13.41 "Haifa" 30
562 14.74 "Haifa" 27
540 13.87 "Haifa" 23
586 9.61 "Haifa" 26
526 7.57 "Haifa" 30
541 8.28 "Haifa" 30
535 9.64 "Haifa" 36
532 10.79 "Haifa" 27
445 7.21 "Haifa" 26
596 15.19 "Haifa" 27
672 13.96 "Haifa" 34
636 15.73 "Haifa" 26
597 14.97 "Haifa" 29
544 11.35 "Haifa" 38
399 3.65 "Haifa" 25
652 13.49 "Haifa" 27
610 16.68 "Haifa" 28
459 8 "Haifa" 24
523 8.87 "Haifa" 31
550 9.92 "Haifa" 22
588 10.52 "Haifa" 28
462 8.16 "Haifa" 26
468 5.49 "Haifa" 27
616 16.15 "Haifa" 34
481 9.08 "Haifa" 33
575 16.76 "Haifa" 37
533 14.87 "Haifa" 34
536 10.24 "Haifa" 31
479 8.98 "Haifa" 27
575 13.77 "Haifa" 31
472 8.01 "Haifa" 31
535 4.89 "Haifa" 29
688 14.9 "Haifa" 24
505 10.48 "Haifa" 33
673 12.28 "Haifa" 27
468 9.3 "Haifa" 25
636 12.66 "Haifa" 30
480 6.34 "Haifa" 28
535 12.2 "Haifa" 34
551 14.09 "Haifa" 28
583 10.21 "Haifa" 34
639 13.83 "Haifa" 31
491 10.38 "Haifa" 31
587 10.95 "Haifa" 29
640 14.47 "Haifa" 35
512 11.13 "Haifa" 28
385 7.79 "Haifa" 27
435 5.33 "Haifa" 31
638 18.95 "Haifa" 31
533 11.73 "Haifa" 38
783 23.55 "Haifa" 27
585 13.34 "Haifa" 33
518 7.92 "Haifa" 30
542 10.45 "Haifa" 36
529 5.91 "Haifa" 32
593 11.68 "Haifa" 33
569 10.45 "Haifa" 31
480 11.35 "Haifa" 26
522 8.41 "Haifa" 28
683 17.67 "Haifa" 32
602 14.92 "Haifa" 26
644 9.99 "Haifa" 35
620 13.96 "Haifa" 25
523 12.62 "Haifa" 25
672 16.55 "Haifa" 25
533 9.62 "Haifa" 30
581 14.24 "Haifa" 34
647 17.94 "Haifa" 24
498 7.29 "Haifa" 28
647 17.12 "Haifa" 30
604 14.53 "Haifa" 24
664 19.7 "Haifa" 29
631 13.78 "Haifa" 29
539 5.83 "Haifa" 34
554 12.1 "Haifa" 33
628 16.17 "Haifa" 25
633 14.97 "Haifa" 25
494 7.66 "Haifa" 27
458 7.14 "Haifa" 22
503 6.34 "Haifa" 25
763 20.85 "Haifa" 33
647 14.62 "Haifa" 28
643 15.68 "Haifa" 33
515 12.88 "Haifa" 33
664 20.3 "Haifa" 27
432 8.22 "Haifa" 28
553 11.12 "Haifa" 38
491 11.13 "Haifa" 29
484 4.53 "Haifa" 31
541 9.23 "Haifa" 35
550 12.63 "Haifa" 30
653 13.44 "Haifa" 31
542 11.66 "Haifa" 25
484 10.45 "Haifa" 38
650 18.2 "Haifa" 27
570 10.02 "Haifa" 25
395 6.4 "Haifa" 28
560 14.6 "Haifa" 37
598 10.66 "Haifa" 23
428 5.98 "Haifa" 29
604 9.53 "Haifa" 25
559 8.88 "Haifa" 26
602 13.63 "Haifa" 30
417 5.03 "Haifa" 32
436 6.97 "Haifa" 37
532 9.63 "Haifa" 28
494 7.3 "Haifa" 32
569 10.73 "Haifa" 19
579 11.32 "Haifa" 31
580 9.53 "Haifa" 37
539 8.93 "Haifa" 32
430 7.69 "Haifa" 30
673 22.97 "Haifa" 29
603 11.08 "Haifa" 28
637 19.98 "Haifa" 32
577 10.55 "Haifa" 32
463 7.07 "Haifa" 36
594 9.85 "Haifa" 22
617 16.19 "Haifa" 30
496 8.28 "Haifa" 28
499 9.31 "Haifa" 29
517 13.08 "Haifa" 29
535 9.91 "Haifa" 27
678 20.29 "Haifa" 31
706 14.96 "Haifa" 27
534 14.6 "Haifa" 24
473 8.6 "Haifa" 34
291 5.33 "Haifa" 29
539 6.78 "Haifa" 29
737 24.49 "Haifa" 30
596 11.5 "Haifa" 25
664 13.25 "Haifa" 32
581 10.64 "Haifa" 31
631 13.99 "Haifa" 25
419 5.01 "Haifa" 31
755 22.89 "Haifa" 29
582 16.35 "Haifa" 33
641 17.4 "Haifa" 29
534 5.98 "Haifa" 31
558 8.4 "Haifa" 35
296 5.19 "Haifa" 37
532 10.58 "Haifa" 26
700 18.94 "Haifa" 30
461 7.7 "Haifa" 25
640 16.78 "Haifa" 32
579 10.92 "Haifa" 31
596 12.97 "Haifa" 28
492 7.84 "Haifa" 26
568 15.97 "Haifa" 39
696 21 "Haifa" 30
420 6.57 "Haifa" 31
436 6.75 "Haifa" 27
554 8.82 "Haifa" 36
619 13 "Haifa" 35
679 20.35 "Haifa" 30
700 19.7 "Haifa" 30
524 9.5 "Haifa" 33
625 19.52 "Haifa" 29
581 9.35 "Haifa" 29
485 13.69 "Haifa" 23
461 10.94 "Haifa" 32
614 15.77 "Haifa" 41
522 11.17 "Haifa" 31
484 6.57 "Haifa" 24
418 5.51 "Haifa" 33
710 17.18 "Haifa" 32
377 5.23 "Haifa" 31
451 5.91 "Haifa" 30
505 4.7 "Haifa" 32
396 4.37 "Haifa" 28
485 12.35 "Haifa" 24
626 10.11 "Haifa" 32
473 6.24 "Haifa" 31
528 10.33 "Haifa" 34
386 4.76 "Haifa" 25
691 23.94 "Haifa" 24
492 5.04 "Haifa" 23
647 19.68 "Haifa" 33
637 13.45 "Haifa" 34
658 20.4 "Haifa" 27
593 9.81 "Haifa" 29
613 16.75 "Haifa" 24
616 10.97 "Haifa" 33
440 6.76 "Haifa" 24
598 12.07 "Haifa" 31
513 7.26 "Haifa" 33
496 6.42 "Haifa" 30
546 8.59 "Haifa" 31
437 10.53 "Haifa" 27
618 16.31 "Haifa" 27
548 11.65 "Haifa" 30
552 12.99 "Haifa" 30
525 10.68 "Haifa" 29
684 16.39 "Haifa" 36
531 11.39 "Haifa" 29
527 10.62 "Haifa" 37
660 13.85 "Haifa" 26
554 12.83 "Haifa" 33
474 9.1 "Haifa" 32
587 13.73 "Haifa" 24
472 6.32 "Haifa" 36
683 15.39 "Haifa" 25
585 20.54 "Haifa" 26
571 12.3 "Haifa" 28
576 9.11 "Haifa" 26
405 4.43 "Haifa" 29
517 7.03 "Haifa" 28
651 20.44 "Haifa" 30
553 9.02 "Haifa" 29
704 26.93 "Haifa" 20
649 11.74 "Haifa" 28
649 16.94 "Haifa" 29
400 2.88 "Haifa" 28
461 9.64 "Haifa" 24
611 15.74 "Haifa" 27
640 12.95 "Haifa" 36
540 9.17 "Haifa" 29
567 13.54 "Haifa" 28
579 12.8 "Haifa" 29
706 20.57 "Haifa" 19
511 10.05 "Haifa" 25
579 15.88 "Haifa" 35
660 13.13 "Haifa" 31
540 16.22 "Haifa" 28
477 9.25 "Haifa" 30
408 4.15 "Haifa" 39
420 5.33 "Haifa" 21
585 13.73 "Haifa" 33
551 7.97 "Haifa" 32
558 15.94 "Haifa" 32
599 10.76 "Haifa" 34
675 10.42 "Haifa" 29
501 6.64 "Haifa" 34
670 22.09 "Haifa" 32
464 9.77 "Haifa" 34
700 19.24 "Haifa" 25
583 11.39 "Haifa" 32
621 13.82 "Haifa" 35
466 6.72 "Haifa" 30
429 4.85 "Haifa" 26
548 11.47 "Haifa" 35
523 8.97 "Haifa" 23
620 12.68 "Haifa" 25
678 19.41 "Haifa" 27
544 9.51 "Haifa" 29
483 10.44 "Haifa" 37
406 5.04 "Haifa" 21
662 17.99 "Haifa" 30
684 19.14 "Haifa" 24
590 15.15 "Haifa" 33
392 3.98 "Haifa" 31
651 19.61 "Haifa" 23
525 16.23 "Haifa" 28
572 9.76 "Haifa" 29
520 7.32 "Haifa" 37
669 16.84 "Haifa" 34
623 15.28 "Haifa" 36
539 12.52 "Haifa" 34
552 12.07 "Haifa" 28
475 7.4 "Haifa" 34
641 14.71 "Haifa" 34
542 15.89 "Haifa" 31
640 11.02 "Haifa" 35
524 9.41 "Haifa" 31
522 8.4 "Haifa" 36
462 6.58 "Haifa" 29
445 11.07 "Haifa" 30
525 10.14 "Haifa" 33
529 5.38 "Haifa" 31
649 12.2 "Haifa" 24
626 11.71 "Haifa" 27
547 6.95 "Haifa" 26
652 19 "Haifa" 32
614 14.41 "Haifa" 26
550 12.85 "Haifa" 30
546 10.11 "Haifa" 34
640 13.78 "Haifa" 21
599 10.65 "Haifa" 27
524 10.28 "Haifa" 33
395 6.62 "Haifa" 26
402 2.2 "Haifa" 33
652 13.7 "Haifa" 33
740 16.42 "Haifa" 29
520 11.95 "Haifa" 30
431 4.68 "Haifa" 31
652 14.41 "Haifa" 26
