ID,NAME,PCLASS,AGE,SEX,SURVIVED
1,"Allen, Miss Elisabeth Walton",1,29.00,1,1
2,"Allison, Miss Helen Loraine",1,2.00,1,0
3,"Allison, Mr Hudson Joshua Creighton",1,30.00,0,0
4,"Allison, Mrs Hudson JC (Bessie Waldo Daniels)",1,25.00,1,0
5,"Allison, Master Hudson Trevor",1,.92,0,1
6,"Anderson, Mr Harry",1,47.00,0,1
7,"Andrews, Miss Kornelia Theodosia",1,63.00,1,1
8,"Andrews, Mr Thomas, jr",1,39.00,0,0
9,"Appleton, Mrs Edward Dale (Charlotte Lamson)",1,58.00,1,1
10,"Artagaveytia, Mr Ramon",1,71.00,0,0
11,"Astor, Colonel John Jacob",1,47.00,0,0
12,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",1,19.00,1,1
13,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",1,50.00,1,1
14,"Baxter, Mr Quigg Edmond",1,24.00,0,0
15,"Beattie, Mr Thomson",1,36.00,0,0
16,"Beckwith, Mr Richard Leonard",1,37.00,0,1
17,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",1,47.00,1,1
18,"Behr, Mr Karl Howell",1,26.00,0,1
19,"Birnbaum, Mr Jakob",1,25.00,0,0
20,"Bishop, Mr Dickinson H",1,25.00,0,1
21,"Bishop, Mrs Dickinson H (Helen Walton)",1,19.00,1,1
22,"Bjornstrm-Steffansson, Mr Mauritz Hakan",1,28.00,0,1
23,"Blackwell, Mr Stephen Weart",1,45.00,0,0
24,"Blank, Mr Henry",1,39.00,0,1
25,"Bonnell, Miss Caroline",1,30.00,1,1
26,"Bonnell, Miss Elizabeth",1,58.00,1,1
27,"Bowen, Miss Grace Scott",1,45.00,1,1
28,"Bowerman, Miss Elsie Edith",1,22.00,1,1
29,"Brady, Mr John Bertram",1,41.00,0,0
30,"Brandeis, Mr Emil",1,48.00,0,0
31,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",1,44.00,1,1
32,"Brown, Mrs John Murray (Caroline Lane Lamson)",1,59.00,1,1
33,"Bucknell, Mrs William Robert (Emma Eliza Ward)",1,60.00,1,1
34,"Butt, Major Archibald Willingham",1,45.00,0,0
35,"Candee, Mrs Edward (Helen Churchill Hungerford)",1,53.00,1,1
36,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle",1,58.00,1,1
37,"Cardeza, Mr Thomas Drake Martinez",1,36.00,0,1
38,"Carlsson, Mr Frans Olof",1,33.00,0,0
39,"Carter, Mr William Ernest",1,36.00,0,1
40,"Carter, Mrs William Ernest (Lucile Polk)",1,36.00,1,1
41,"Carter, Miss Lucile Polk",1,14.00,1,1
42,"Carter, Master William T II",1,11.00,0,1
43,"Case, Mr Howard Brown",1,49.00,0,0
44,"Cavendish, Mr Tyrell William",1,36.00,0,0
45,"Chaffee, Mr Herbert Fuller",1,46.00,0,0
46,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",1,47.00,1,1
47,"Chambers, Mr Norman Campbell",1,27.00,0,1
48,"Chambers, Mrs Norman Campbell (Bertha Griggs)",1,31.00,1,1
49,"Clark, Mr Walter Miller",1,27.00,0,0
50,"Clark, Mrs Walter Miller (Virginia McDowell)",1,26.00,1,1
51,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",1,64.00,1,1
52,"Compton, Mr Alexander Taylor, Jr",1,37.00,0,0
53,"Compton, Miss Sara Rebecca",1,39.00,1,1
54,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",1,55.00,1,1
55,"Crosby, Captain Edward Gifford",1,70.00,0,0
56,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead",1,69.00,1,1
57,"Crosby, Miss Harriet R",1,36.00,1,1
58,"Cumings, Mr John Bradley",1,39.00,0,0
59,"Cumings, Mrs John Bradley (Florence Briggs Thayer)",1,38.00,1,1
60,"Daniel, Mr Robert Williams",1,27.00,0,1
61,"Davidson, Mr Thornton",1,31.00,0,0
62,"Davidson, Mrs Thornton (Orian Hays)",1,27.00,1,1
63,"Dick, Mr Albert Adrian",1,31.00,0,1
64,"Dick, Mrs Albert Adrian Vera Gillespie",1,17.00,1,1
65,"Dodge, Master Washington",1,4.00,0,1
66,"Douglas, Mrs Frederick Charles (Suzette Baxter)",1,27.00,1,1
67,"Douglas, Mr Walter Donald",1,50.00,0,0
68,"Douglas, Mrs Walter Donald (Mahala Dutton)",1,48.00,1,1
69,"Duff Gordon, Sir Cosmo Edmund",1,49.00,0,1
70,"Duff Gordon, Lady (Lucille Wallace Sutherland)",1,48.00,1,1
71,"Dulles, Mr William Crothers",1,39.00,0,0
72,"Earnshaw, Mrs Boulton (Olive Potter)",1,23.00,1,1
73,"Eustis, Miss Elizabeth Mussey",1,53.00,1,1
74,"Evans, Miss Edith Corse",1,36.00,1,0
75,"Foreman, Mr Benjamin Laventall",1,30.00,0,0
76,"Fortune, Miss Alice Elizabeth",1,24.00,1,1
77,"Fortune, Mr Charles Alexander",1,19.00,0,0
78,"Fortune, Miss Ethel Flora",1,28.00,1,1
79,"Fortune, Miss Mabel",1,23.00,1,1
80,"Fortune, Mr Mark",1,64.00,0,0
81,"Fortune, Mrs Mark (Mary McDougald)",1,60.00,1,1
82,"Frauenthal, Dr Henry William",1,49.00,0,1
83,"Frauenthal, Mr Isaac Gerald",1,44.00,0,1
84,"Frolicher, Miss Marguerite",1,22.00,1,1
85,"Frolicher-Stehli, Mr Maxmillian",1,60.00,0,1
86,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia S",1,48.00,1,1
87,"Futrelle, Mr Jacques",1,37.00,0,0
88,"Futrelle, Mrs Jacques (May Peel)",1,35.00,1,1
89,"Gee, Mr Arthur H",1,47.00,0,0
90,"Gibson, Miss Dorothy",1,22.00,1,1
91,"Gibson, Mrs Leonard (Pauline C Boeson)",1,45.00,1,1
92,"Goldenberg, Mr Samuel L",1,49.00,0,1
93,"Goldschmidt, Mr George B",1,71.00,0,0
94,"Gracie, Colonel Archibald IV",1,54.00,0,1
95,"Graham, Mr George Edward",1,38.00,0,0
96,"Graham, Miss Margaret Edith",1,19.00,1,1
97,"Graham, Mrs William Thompson (Edith Junkins)",1,58.00,1,1
98,"Greenfield, Mrs Leo David (Blanche Strouse)",1,45.00,1,1
99,"Greenfield, Mr William Bertram",1,23.00,0,1
100,"Guggenheim, Mr Benjamin",1,46.00,0,0
101,"Harder, Mr George Achilles",1,25.00,0,1
102,"Harder, Mrs George Achilles (Dorothy Annan)",1,21.00,1,1
103,"Harper, Mr Henry Sleeper",1,48.00,0,1
104,"Harper, Mrs Henry Sleeper (Myna Haxtun)",1,49.00,1,1
105,"Harris, Mr Henry Birkhardt",1,45.00,0,0
106,"Harris, Mrs Henry Birkhardt (Irene Wallach)",1,36.00,1,1
